,asset_id,label,split,fps,frame_count,duration_seconds,frame_height,frame_width,frame_channels,orginal_video_start_second,original_video_end_second,original_video_target_second,target_second,reliable_audio
73,473680,0,train,25.0,259,9.96,1080,1920,3,37.0,47.0,42.0,5.0,1
58,430909,0,train,25.0,264,9.88,1080,1920,3,10.56,20.56,16.0,5.440000000000001,1
79,476723,0,train,25.0,277,9.96,1080,1920,3,41.0,51.0,46.0,5.0,1
72,466134,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
36,407960,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
60,430979,0,train,25.0,457,9.88,1080,1920,3,8.280000000000001,18.28,14.0,5.719999999999999,1
56,430642,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
57,430643,0,train,25.0,427,9.96,1080,1920,3,47.0,57.0,52.0,5.0,1
46,418580,0,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
59,430978,0,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
82,483822,0,train,25.0,163,6.4,1080,1920,3,0.0,6.53,2.0,2.0,1
41,418025,0,train,25.0,279,9.96,1080,1920,3,25.0,35.0,30.0,5.0,1
138,418348,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
151,442439,1,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
175,443097,1,train,25.0,305,9.92,1080,1920,3,32.16,42.16,42.0,9.840000000000003,0
165,442867,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
127,407005,1,train,25.0,477,9.96,1080,1920,3,29.0,39.0,34.0,5.0,0
177,443106,1,train,25.0,433,9.88,1080,1920,3,30.68,40.68,36.0,5.32,0
150,442421,1,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
145,440341,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
179,454785,1,train,25.0,262,9.88,1080,1920,3,7.239999999999998,17.24,16.0,8.760000000000002,0
162,442857,1,train,25.0,253,9.96,1080,1920,3,13.0,23.0,18.0,5.0,0
178,443109,1,train,25.0,327,9.96,1080,1920,3,23.0,33.0,28.0,5.0,0
131,418322,1,train,25.0,427,9.96,1080,1920,3,7.0,17.0,12.0,5.0,0
142,423457,1,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,0
125,407003,1,train,25.0,272,9.88,1080,1920,3,20.88,30.88,28.0,7.120000000000001,0
129,413712,1,train,25.0,372,9.96,1080,1920,3,23.0,33.0,28.0,5.0,0
135,418341,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
160,442845,1,train,25.0,252,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
172,442935,1,train,25.0,263,9.96,1080,1920,3,47.0,57.0,52.0,5.0,1
143,440299,1,train,25.0,425,9.88,1080,1920,3,7.0,17.0,16.0,9.0,1
133,418326,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
157,442751,1,train,25.0,279,9.96,1080,1920,3,35.0,45.0,40.0,5.0,0
155,442680,1,train,25.0,327,9.96,1080,1920,3,23.0,33.0,28.0,5.0,0
171,442934,1,train,25.0,494,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
146,440342,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
154,442676,1,train,25.0,277,9.96,1080,1920,3,11.0,21.0,16.0,5.0,0
156,442681,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
139,423444,1,train,25.0,179,7.04,1080,1920,3,0.0,7.16,2.0,2.0,0
149,440376,1,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
130,418321,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
168,442925,1,train,25.0,343,9.96,1080,1920,3,47.0,57.0,52.0,5.0,1
147,440367,1,train,25.0,427,9.96,1080,1920,3,27.0,37.0,32.0,5.0,0
164,442866,1,train,25.0,269,9.88,1080,1920,3,2.880000000000001,12.88,8.0,5.119999999999999,1
158,442839,1,train,25.0,262,9.96,1080,1920,3,17.0,27.0,22.0,5.0,0
152,442443,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
128,407006,1,train,25.0,477,9.96,1080,1920,3,19.0,29.0,24.0,5.0,0
141,423446,1,train,25.0,207,8.16,1080,1920,3,0.0,8.28,2.0,2.0,0
169,442926,1,train,25.0,302,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
161,442846,1,train,25.0,266,9.88,1080,1920,3,6.960000000000001,16.96,14.0,7.039999999999999,1
166,442868,1,train,25.0,264,9.96,1080,1920,3,7.0,17.0,12.0,5.0,1
163,442861,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
153,442675,1,train,25.0,377,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
144,440300,1,train,25.0,216,8.52,1080,1920,3,0.0,8.64,2.0,2.0,1
148,440375,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
159,442843,1,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
251,201409011,2,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,1
262,201854741,2,train,25.0,327,9.96,576,720,3,3.0,13.0,8.0,5.0,1
224,477939,2,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
238,483428,2,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
227,479846,2,train,25.0,427,9.96,1080,1920,3,17.0,27.0,22.0,5.0,1
220,418003,2,train,25.0,262,9.96,1080,1920,3,17.0,27.0,22.0,5.0,0
229,479849,2,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
237,483427,2,train,25.0,320,9.96,1080,1920,3,33.0,43.0,38.0,5.0,0
263,201871721,2,train,25.0,314,9.96,480,640,3,39.0,49.0,44.0,5.0,1
240,483468,2,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
267,201884941,2,train,25.0,327,9.96,720,1280,3,3.0,13.0,8.0,5.0,0
247,200821531,2,train,25.0,427,9.96,464,848,3,7.0,17.0,12.0,5.0,1
215,407982,2,train,25.0,225,8.88,1080,1920,3,0.0,9.08,8.0,8.0,0
212,400267,2,train,25.0,377,9.96,1080,1920,3,35.0,45.0,40.0,5.0,1
253,201416401,2,train,25.0,351,9.96,720,1280,3,23.0,33.0,28.0,5.0,1
249,201407131,2,train,25.0,307,9.96,720,1280,3,15.0,25.0,20.0,5.0,0
245,723285,2,train,25.0,427,9.96,406,720,3,7.0,17.0,12.0,5.0,1
213,407200,2,train,25.0,284,9.96,1080,1920,3,5.0,15.0,10.0,5.0,1
219,418001,2,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
258,201498091,2,train,25.0,327,9.96,720,1280,3,3.0,13.0,8.0,5.0,0
232,479855,2,train,25.0,315,9.96,1080,1920,3,99.0,109.0,104.0,5.0,1
236,483426,2,train,25.0,272,9.88,1080,1920,3,85.88,95.88,94.0,8.120000000000005,1
239,483467,2,train,25.0,265,9.88,1080,1920,3,70.6,80.6,76.0,5.400000000000006,1
243,483501,2,train,25.0,262,9.92,1080,1920,3,5.68,15.68,12.0,6.32,0
261,201850761,2,train,25.0,374,9.96,720,1280,3,21.0,31.0,26.0,5.0,0
268,201885611,2,train,25.0,276,9.96,352,640,3,21.0,31.0,26.0,5.0,0
250,201408991,2,train,25.0,263,9.88,720,1280,3,30.28,40.28,38.0,7.719999999999999,1
214,407523,2,train,25.0,277,9.96,1080,1920,3,31.0,41.0,36.0,5.0,0
246,200816721,2,train,25.0,427,9.96,480,640,3,7.0,17.0,12.0,5.0,1
264,201872481,2,train,25.0,274,9.96,360,640,3,55.0,65.0,60.0,5.0,1
255,201463851,2,train,25.0,377,9.96,720,1280,3,5.0,15.0,10.0,5.0,1
225,477941,2,train,25.0,412,9.84,1080,1920,3,76.5,86.5,82.0,5.5,0
222,418607,2,train,25.0,443,9.96,1080,1920,3,15.0,25.0,20.0,5.0,0
217,417999,2,train,25.0,258,9.96,1080,1920,3,9.0,19.0,14.0,5.0,1
266,201876231,2,train,25.0,477,9.96,720,1280,3,49.0,59.0,54.0,5.0,1
223,477938,2,train,25.0,492,9.96,1080,1920,3,69.0,79.0,74.0,5.0,0
256,201463861,2,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,1
241,483475,2,train,25.0,362,9.96,1080,1920,3,19.0,29.0,24.0,5.0,1
259,201498451,2,train,25.0,308,9.96,720,1280,3,13.0,23.0,18.0,5.0,0
235,479859,2,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
228,479848,2,train,25.0,427,9.96,1080,1920,3,17.0,27.0,22.0,5.0,1
234,479858,2,train,25.0,374,9.88,1080,1920,3,18.12,28.12,24.0,5.879999999999999,1
248,200822141,2,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,1
230,479850,2,train,25.0,215,8.48,1080,1920,3,0.0,8.56,4.0,4.0,1
226,479845,2,train,25.0,303,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
254,201416441,2,train,25.0,327,9.96,720,1280,3,3.0,13.0,8.0,5.0,1
218,418000,2,train,25.0,252,9.96,1080,1920,3,49.0,59.0,54.0,5.0,1
316,475196,3,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
342,484407,3,train,25.0,274,9.96,1080,1920,3,37.0,47.0,42.0,5.0,1
323,478911,3,train,25.0,282,9.96,1080,1920,3,19.0,29.0,24.0,5.0,1
322,478457,3,train,25.0,263,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
306,475185,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
325,483260,3,train,25.0,277,9.96,1080,1920,3,19.0,29.0,24.0,5.0,1
331,484373,3,train,25.0,293,9.96,1080,1920,3,9.0,19.0,14.0,5.0,1
332,484394,3,train,25.0,289,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
345,484410,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
326,483261,3,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
343,484408,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
334,484398,3,train,25.0,301,9.96,1080,1920,3,23.0,33.0,28.0,5.0,1
308,475187,3,train,25.0,275,9.96,1080,1920,3,61.0,71.0,66.0,5.0,1
350,484421,3,train,25.0,293,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
349,484420,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
320,478403,3,train,25.0,322,9.96,1080,1920,3,17.0,27.0,22.0,5.0,1
313,475192,3,train,25.0,285,9.88,1080,1920,3,45.76,55.76,52.0,6.240000000000002,1
311,475190,3,train,25.0,271,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
305,475176,3,train,25.0,306,9.96,1080,1920,3,37.0,47.0,42.0,5.0,1
327,483683,3,train,25.0,262,9.92,1080,1920,3,0.4399999999999995,10.44,6.0,5.5600000000000005,1
333,484397,3,train,25.0,259,9.96,1080,1920,3,67.0,77.0,72.0,5.0,1
329,484017,3,train,25.0,283,9.96,1080,1920,3,77.0,87.0,82.0,5.0,1
347,484414,3,train,25.0,276,9.96,1080,1920,3,41.0,51.0,46.0,5.0,1
317,475198,3,train,25.0,257,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
309,475188,3,train,25.0,321,9.96,1080,1920,3,27.0,37.0,32.0,5.0,1
357,306517701,3,train,25.0,327,9.96,720,1280,3,13.0,23.0,18.0,5.0,1
318,475200,3,train,25.0,263,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
304,474919,3,train,25.0,278,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
324,479780,3,train,25.0,301,9.96,1080,1920,3,23.0,33.0,28.0,5.0,1
328,483684,3,train,25.0,337,9.96,1080,1920,3,121.0,131.0,126.0,5.0,1
338,484403,3,train,25.0,293,9.96,1080,1920,3,45.0,55.0,50.0,5.0,1
356,280856341,3,train,25.0,295,9.96,720,1280,3,29.0,39.0,34.0,5.0,1
303,474918,3,train,25.0,327,9.88,1080,1920,3,12.64,22.64,18.0,5.359999999999999,1
351,484477,3,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,1
358,306520491,3,train,25.0,252,9.96,720,1280,3,0.0,10.0,2.0,2.0,1
310,475189,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
330,484018,3,train,25.0,261,9.92,1080,1920,3,16.4,26.4,26.0,9.6,1
341,484406,3,train,25.0,261,9.96,1080,1920,3,25.0,35.0,30.0,5.0,1
336,484401,3,train,25.0,267,9.96,1080,1920,3,17.0,27.0,22.0,5.0,1
348,484417,3,train,25.0,327,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
315,475194,3,train,25.0,340,9.96,1080,1920,3,115.0,125.0,120.0,5.0,1
353,280846121,3,train,25.0,299,9.96,720,1280,3,39.0,49.0,44.0,5.0,1
314,475193,3,train,25.0,301,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
340,484405,3,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
335,484400,3,train,25.0,281,9.96,1080,1920,3,23.0,33.0,28.0,5.0,1
321,478456,3,train,25.0,263,9.96,1080,1920,3,11.0,21.0,16.0,5.0,1
393,402857,4,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
427,484195,4,train,25.0,477,9.96,1080,1920,3,19.0,29.0,24.0,5.0,0
392,402855,4,train,25.0,477,9.96,1080,1920,3,19.0,29.0,24.0,5.0,0
413,447493,4,train,25.0,427,9.96,1080,1920,3,17.0,27.0,22.0,5.0,1
437,200776561,4,train,25.0,277,9.96,720,1280,3,1.0,11.0,6.0,5.0,0
391,402819,4,train,25.0,292,9.96,1080,1920,3,15.0,25.0,20.0,5.0,1
412,447489,4,train,25.0,378,9.96,1080,1920,3,25.0,35.0,30.0,5.0,0
396,402868,4,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
416,450559,4,train,25.0,132,5.16,1080,1920,3,0.0,5.28,2.0,2.0,0
394,402858,4,train,25.0,477,9.96,1080,1920,3,9.0,19.0,14.0,5.0,0
406,443562,4,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,0
424,483454,4,train,25.0,277,9.96,1080,1920,3,11.0,21.0,16.0,5.0,1
429,484197,4,train,25.0,427,9.96,1080,1920,3,37.0,47.0,42.0,5.0,0
423,483451,4,train,25.0,215,8.48,1080,1920,3,0.0,8.56,8.0,8.0,0
399,403436,4,train,25.0,291,9.96,1080,1920,3,57.0,67.0,62.0,5.0,0
405,441596,4,train,25.0,284,9.88,1080,1920,3,1.3599999999999994,11.36,10.0,8.64,0
397,402870,4,train,25.0,415,9.84,1080,1920,3,26.64,36.64,34.0,7.359999999999999,0
442,201756951,4,train,25.0,251,9.88,352,640,3,20.04,30.04,26.0,5.960000000000001,0
440,201754351,4,train,25.0,477,9.96,352,640,3,9.0,19.0,14.0,5.0,0
434,189847861,4,train,25.0,427,9.96,720,1280,3,17.0,27.0,22.0,5.0,0
398,403000,4,train,25.0,261,9.96,1080,1920,3,117.0,127.0,122.0,5.0,1
436,200776551,4,train,25.0,266,9.96,720,1280,3,73.0,83.0,78.0,5.0,0
421,469714,4,train,25.0,347,9.84,1080,1920,3,44.45,54.45,54.0,9.549999999999995,0
422,479700,4,train,25.0,327,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
409,447439,4,train,25.0,427,9.96,1080,1920,3,17.0,27.0,22.0,5.0,0
447,343245341,4,train,25.0,277,9.96,720,1280,3,1.0,11.0,6.0,5.0,0
444,201762561,4,train,25.0,477,9.88,352,640,3,19.08,29.08,28.0,8.920000000000002,0
433,189847691,4,train,25.0,277,9.96,720,1280,3,41.0,51.0,46.0,5.0,0
428,484196,4,train,25.0,477,9.96,1080,1920,3,49.0,59.0,54.0,5.0,0
443,201756961,4,train,25.0,327,9.96,352,640,3,3.0,13.0,8.0,5.0,0
425,483455,4,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,0
441,201754361,4,train,25.0,277,9.96,352,640,3,1.0,11.0,6.0,5.0,0
404,440695,4,train,25.0,256,9.88,1080,1920,3,10.239999999999998,20.24,18.0,7.760000000000002,1
435,193013851,4,train,25.0,327,9.96,720,1280,3,53.0,63.0,58.0,5.0,0
417,450706,4,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,0
390,402818,4,train,25.0,206,8.12,1080,1920,3,0.0,8.28,6.0,6.0,0
403,420313,4,train,25.0,311,9.96,1080,1920,3,41.0,51.0,46.0,5.0,0
426,483826,4,train,25.0,377,9.96,1080,1920,3,185.0,195.0,190.0,5.0,1
439,200854941,4,train,25.0,427,9.96,720,1280,3,17.0,27.0,22.0,5.0,0
420,469712,4,train,25.0,277,9.96,1080,1920,3,11.0,21.0,16.0,5.0,0
446,303178041,4,train,25.0,427,9.96,720,1280,3,37.0,47.0,42.0,5.0,0
400,403496,4,train,25.0,274,9.96,1080,1920,3,7.0,17.0,12.0,5.0,0
419,469706,4,train,25.0,328,9.96,1080,1920,3,13.0,23.0,18.0,5.0,0
408,443828,4,train,25.0,320,9.88,1080,1920,3,2.8000000000000007,12.8,8.0,5.199999999999999,0
418,461230,4,train,25.0,427,9.96,1080,1920,3,7.0,17.0,12.0,5.0,0
431,188578971,4,train,25.0,377,9.84,720,1280,3,35.1,45.1,42.0,6.899999999999999,0
395,402867,4,train,25.0,275,9.96,1080,1920,3,31.0,41.0,36.0,5.0,0
432,188579831,4,train,25.0,252,9.96,720,1280,3,0.0,10.0,2.0,2.0,0
502,415836,5,train,25.0,484,9.84,1080,1920,3,19.37,29.37,28.0,8.629999999999999,1
512,449647,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
506,440894,5,train,25.0,328,9.96,1080,1920,3,13.0,23.0,18.0,5.0,0
500,415834,5,train,25.0,321,9.96,1080,1920,3,59.0,69.0,64.0,5.0,1
511,449646,5,train,25.0,296,9.96,1080,1920,3,25.0,35.0,30.0,5.0,0
496,415829,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
486,409917,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
482,403651,5,train,25.0,392,9.96,1080,1920,3,33.0,43.0,38.0,5.0,0
513,449649,5,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
493,415811,5,train,25.0,272,9.88,1080,1920,3,10.88,20.88,20.0,9.12,0
518,462551,5,train,25.0,477,9.96,1080,1920,3,9.0,19.0,14.0,5.0,0
525,463544,5,train,25.0,477,9.96,1080,1920,3,19.0,29.0,24.0,5.0,0
498,415831,5,train,25.0,340,9.88,1080,1920,3,128.8,138.8,136.0,7.199999999999989,1
485,407056,5,train,25.0,257,9.96,1080,1920,3,15.0,25.0,20.0,5.0,0
517,462550,5,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,0
484,407055,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
508,440898,5,train,25.0,292,9.96,1080,1920,3,53.0,63.0,58.0,5.0,0
501,415835,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
530,201814151,5,train,25.0,319,9.8,720,1280,3,2.8200000000000003,12.82,8.0,5.18,0
524,463543,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
526,463550,5,train,25.0,252,9.96,1080,1920,3,39.0,49.0,44.0,5.0,0
483,407054,5,train,25.0,310,9.84,1080,1920,3,22.44,32.44,28.0,5.560000000000002,0
534,261355691,5,train,25.0,427,9.96,720,1280,3,17.0,27.0,22.0,5.0,0
510,449645,5,train,25.0,276,9.96,1080,1920,3,51.0,61.0,56.0,5.0,0
519,462553,5,train,25.0,377,9.96,1080,1920,3,5.0,15.0,10.0,5.0,0
490,415806,5,train,25.0,276,9.96,1080,1920,3,25.0,35.0,30.0,5.0,0
532,201814441,5,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,0
487,415794,5,train,25.0,280,9.96,1080,1920,3,29.0,39.0,34.0,5.0,0
533,261355681,5,train,25.0,327,9.96,720,1280,3,3.0,13.0,8.0,5.0,0
515,449651,5,train,25.0,382,9.92,1080,1920,3,39.56,49.56,48.0,8.439999999999998,0
514,449650,5,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,0
499,415832,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,0
528,201814131,5,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,0
523,463542,5,train,25.0,317,9.96,1080,1920,3,17.0,27.0,22.0,5.0,0
494,415814,5,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,0
509,449644,5,train,25.0,332,9.96,1080,1920,3,9.0,19.0,14.0,5.0,0
489,415796,5,train,25.0,400,9.88,1080,1920,3,102.68,112.68,108.0,5.319999999999993,1
495,415820,5,train,25.0,332,9.96,1080,1920,3,21.0,31.0,26.0,5.0,0
491,415807,5,train,25.0,408,9.88,1080,1920,3,36.32,46.32,46.0,9.68,0
539,261364301,5,train,25.0,477,9.96,720,1280,3,49.0,59.0,54.0,5.0,0
488,415795,5,train,25.0,260,9.96,1080,1920,3,7.0,17.0,12.0,5.0,0
531,201814431,5,train,25.0,252,9.96,720,1280,3,0.0,10.0,4.0,4.0,0
516,462547,5,train,25.0,254,9.88,1080,1920,3,89.68,99.68,98.0,8.319999999999993,0
537,261355851,5,train,25.0,277,9.96,720,1280,3,1.0,11.0,6.0,5.0,0
522,463541,5,train,25.0,372,9.96,1080,1920,3,23.0,33.0,28.0,5.0,0
507,440897,5,train,25.0,264,9.96,1080,1920,3,173.0,183.0,178.0,5.0,0
497,415830,5,train,25.0,336,9.88,1080,1920,3,3.4399999999999995,13.44,10.0,6.5600000000000005,1
521,463540,5,train,25.0,354,9.96,1080,1920,3,143.0,153.0,148.0,5.0,0
582,421468,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
603,450810,6,train,25.0,443,9.96,1080,1920,3,31.0,41.0,36.0,5.0,0
610,483305,6,train,25.0,478,9.96,1080,1920,3,27.0,37.0,32.0,5.0,1
595,432171,6,train,25.0,277,9.96,1080,1920,3,1.0,11.0,6.0,5.0,1
576,404674,6,train,25.0,327,9.96,1080,1920,3,43.0,53.0,48.0,5.0,1
626,343381851,6,train,25.0,450,9.88,720,1280,3,8.0,18.0,14.0,6.0,1
621,254402911,6,train,25.0,267,9.88,720,1280,3,12.64,22.64,18.0,5.359999999999999,1
601,448562,6,train,25.0,298,9.88,1080,1920,3,14.48,24.48,20.0,5.52,1
596,432172,6,train,25.0,427,9.96,1080,1920,3,27.0,37.0,32.0,5.0,1
597,446996,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
592,431085,6,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
593,432162,6,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,0
619,483320,6,train,25.0,282,9.88,1080,1920,3,1.2599999999999998,11.26,8.0,6.74,0
579,416878,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
618,483313,6,train,25.0,327,9.96,1080,1920,3,243.0,253.0,248.0,5.0,1
606,471427,6,train,25.0,399,9.96,1080,1920,3,11.0,21.0,16.0,5.0,1
575,404617,6,train,25.0,483,9.96,1080,1920,3,21.0,31.0,26.0,5.0,0
623,257071731,6,train,25.0,455,9.84,720,1280,3,22.15,32.15,32.0,9.85,1
581,416888,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
604,451531,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,4.0,4.0,1
583,431073,6,train,25.0,327,9.96,1080,1920,3,13.0,23.0,18.0,5.0,1
578,414948,6,train,25.0,342,9.96,1080,1920,3,21.0,31.0,26.0,5.0,1
608,472879,6,train,25.0,327,9.96,1080,1920,3,3.0,13.0,8.0,5.0,1
588,431081,6,train,25.0,252,9.96,1080,1920,3,0.0,10.0,2.0,2.0,1
571,401969,6,train,25.0,312,9.84,1080,1920,3,17.24,27.24,24.0,6.760000000000002,1
